GAME_DATE_EST,GAME_ID,SEASON,TEAM_ID_home,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,TEAM_ID_away,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS,NAME_HOME,COACH_HOME,NAME_AWAY,COACH_AWAY,round_number_home,round_number_away,PTS_home_cur_season,FG_PCT_home_cur_season,FT_PCT_home_cur_season,FG3_PCT_home_cur_season,AST_home_cur_season,REB_home_cur_season,WINRATE_home_cur_season,PTS_LOST_home_cur_season,PTS_away_cur_season,FG_PCT_away_cur_season,FT_PCT_away_cur_season,FG3_PCT_away_cur_season,AST_away_cur_season,REB_away_cur_season,WINRATE_away_cur_season,PTS_LOST_away_cur_season
6/12/2011,41000406,2010,1610612748,95.0,0.472,0.606,0.304,20.0,39.0,1610612742,105.0,0.5,0.667,0.423,19.0,40.0,0,Heat,Erik Spoelstra,Mavericks,Rick Carlisle,109,111,99.66666666666667,0.47104629629629613,0.7723888888888888,0.3597129629629627,19.203703703703717,41.962962962962926,0.685185185185185,93.60185185185183,99.2,0.4683818181818182,0.7762636363636364,0.36170909090909087,23.04545454545455,41.154545454545456,0.690909090909091,95.28181818181818
6/9/2011,41000405,2010,1610612742,112.0,0.565,0.778,0.684,23.0,26.0,1610612748,103.0,0.529,0.808,0.4,25.0,36.0,1,Mavericks,Rick Carlisle,Heat,Erik Spoelstra,110,108,99.08256880733946,0.46749541284403673,0.7762477064220182,0.35875229357798166,23.04587155963303,41.293577981651374,0.6880733944954129,95.21100917431193,99.6355140186916,0.47050467289719605,0.772056074766355,0.3593364485981306,19.149532710280386,42.01869158878501,0.6915887850467288,93.42990654205606
6/7/2011,41000404,2010,1610612742,86.0,0.397,0.8,0.211,13.0,41.0,1610612748,83.0,0.427,0.708,0.143,19.0,44.0,1,Mavericks,Rick Carlisle,Heat,Erik Spoelstra,109,107,99.20370370370371,0.46814814814814815,0.7760277777777778,0.36012037037037037,23.138888888888893,41.2962962962963,0.6851851851851853,95.32407407407408,99.79245283018868,0.4709150943396225,0.7726603773584905,0.36137735849056574,19.150943396226427,41.999999999999964,0.6981132075471697,93.49999999999999
6/5/2011,41000403,2010,1610612742,86.0,0.4,0.815,0.381,18.0,42.0,1610612748,88.0,0.436,0.8,0.421,20.0,36.0,0,Mavericks,Rick Carlisle,Heat,Erik Spoelstra,108,106,99.32710280373831,0.468785046728972,0.7756635514018692,0.35992523364485984,23.18691588785047,41.28971962616822,0.6915887850467292,95.39252336448598,99.9047619047619,0.47124761904761886,0.7723999999999999,0.3608095238095235,19.142857142857153,42.05714285714282,0.6952380952380951,93.57142857142856
6/2/2011,41000402,2010,1610612748,93.0,0.466,0.667,0.3,13.0,30.0,1610612742,95.0,0.48,0.81,0.353,18.0,41.0,0,Heat,Erik Spoelstra,Mavericks,Rick Carlisle,105,107,99.97115384615384,0.47129807692307674,0.7734134615384615,0.3613942307692305,19.201923076923087,42.17307692307689,0.7019230769230768,93.55769230769229,99.36792452830188,0.4686792452830189,0.7753396226415094,0.3599905660377358,23.23584905660378,41.29245283018868,0.688679245283019,95.41509433962264
5/31/2011,41000401,2010,1610612748,92.0,0.388,0.731,0.458,20.0,46.0,1610612742,84.0,0.373,0.781,0.409,18.0,36.0,1,Heat,Erik Spoelstra,Mavericks,Rick Carlisle,104,106,100.04854368932038,0.4721067961165047,0.7738252427184465,0.3604563106796114,19.194174757281562,42.13592233009705,0.6990291262135921,93.65048543689319,99.51428571428572,0.4695904761904763,0.7752857142857141,0.3595238095238095,23.285714285714292,41.34285714285714,0.6952380952380953,95.44761904761904
5/26/2011,41000305,2010,1610612741,80.0,0.358,0.714,0.318,18.0,45.0,1610612748,83.0,0.394,0.758,0.4,12.0,42.0,0,Bulls,Jim Boylen,Heat,Erik Spoelstra,106,103,97.64761904761905,0.45678095238095234,0.746580952380952,0.3558666666666666,22.019047619047612,43.733333333333334,0.7142857142857143,91.17142857142854,100.2156862745098,0.4728725490196077,0.7739803921568628,0.36006862745098017,19.26470588235295,42.13725490196075,0.6960784313725489,93.78431372549018
5/25/2011,41000315,2010,1610612742,100.0,0.41,0.861,0.25,19.0,44.0,1610612760,96.0,0.427,0.84,0.313,16.0,49.0,1,Mavericks,Rick Carlisle,Thunder,Billy Donovan,105,105,99.50961538461539,0.47016346153846167,0.7744615384615383,0.3605769230769231,23.32692307692308,41.31730769230769,0.6923076923076924,95.4423076923077,104.40384615384616,0.4609326923076921,0.8193557692307691,0.3466538461538461,19.96153846153847,42.99038461538461,0.6442307692307695,101.20192307692307
5/24/2011,41000304,2010,1610612748,101.0,0.427,0.842,0.385,12.0,41.0,1610612741,93.0,0.402,0.773,0.25,20.0,42.0,1,Heat,Erik Spoelstra,Bulls,Jim Boylen,102,105,100.20792079207921,0.47332673267326714,0.7733069306930693,0.3598217821782176,19.336633663366346,42.14851485148511,0.6930693069306929,93.79207920792078,97.6923076923077,0.45730769230769225,0.7463269230769227,0.3568846153846153,22.03846153846153,43.75,0.7211538461538461,91.07692307692304
5/23/2011,41000314,2010,1610612760,105.0,0.467,0.76,0.154,23.0,55.0,1610612742,112.0,0.432,0.872,0.32,16.0,33.0,0,Thunder,Billy Donovan,Mavericks,Rick Carlisle,104,104,104.39805825242719,0.46087378640776683,0.8199320388349514,0.34852427184466006,19.932038834951467,42.87378640776699,0.6504854368932041,101.09708737864077,99.3883495145631,0.4705339805825244,0.773514563106796,0.36097087378640774,23.398058252427187,41.398058252427184,0.6893203883495147,95.3495145631068
