,GAME_DATE_EST,GAME_ID,SEASON,TEAM_ID_home,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,TEAM_ID_away,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS,NAME_HOME,COACH_HOME,NAME_AWAY,COACH_AWAY
33,3/8/2022,22100977,2021,1610612753,99,0.38,0.88,0.179,17,53,1610612756,102,0.38,0.826,0.351,24,52,0,Magic,Steve Clifford,Suns,Monty Williams
34,3/8/2022,22100978,2021,1610612763,132,0.475,0.833,0.364,30,52,1610612740,111,0.466,0.667,0.324,24,45,1,Grizzlies,Taylor Jenkins,Pelicans,Alvin Gentry
35,3/8/2022,22100979,2021,1610612760,115,0.5,0.714,0.41,26,36,1610612749,142,0.53,0.8,0.5,35,53,0,Thunder,Billy Donovan,Bucks,Mike Budenholzer
36,3/8/2022,22100980,2021,1610612744,112,0.478,0.846,0.382,33,51,1610612746,97,0.355,0.826,0.308,23,47,1,Warriors,Steve Kerr,Clippers,Doc Rivers
37,3/7/2022,22100968,2021,1610612765,113,0.462,0.652,0.364,27,47,1610612737,110,0.452,0.682,0.289,28,48,1,Pistons,Dwane Casey,Hawks,Lloyd Pierce
38,3/7/2022,22100969,2021,1610612755,121,0.488,0.794,0.4,29,38,1610612741,106,0.448,0.769,0.333,22,48,1,76ers,Brett Brown,Bulls,Jim Boylen
39,3/7/2022,22100970,2021,1610612748,123,0.538,0.786,0.452,26,50,1610612745,106,0.443,0.682,0.302,22,33,1,Heat,Erik Spoelstra,Rockets,Mike D'Antoni
40,3/7/2022,22100971,2021,1610612750,124,0.413,0.795,0.302,21,67,1610612757,81,0.277,0.737,0.25,11,42,1,Timberwolves,Ryan Saunders,Trail Blazers,Terry Stotts
41,3/7/2022,22100972,2021,1610612742,111,0.443,0.8,0.37,19,43,1610612762,103,0.434,0.792,0.387,22,45,1,Mavericks,Rick Carlisle,Jazz,Quin Snyder
42,3/7/2022,22100973,2021,1610612759,117,0.548,0.533,0.346,28,47,1610612747,110,0.473,0.696,0.308,19,43,1,Spurs,Gregg Popovich,Lakers,Frank Vogel
