,NAME_HOME,PTS_home,PTS_home_cur_season,NAME_AWAY,PTS_away,PTS_away_cur_season
0,Heat,104.0,95,Timberwolves,113.0,99
10,Heat,117.0,95,Cavaliers,105.0,92
21,Heat,90.0,96,Suns,111.0,102
39,Heat,123.0,96,Rockets,106.0,97
55,Heat,99.0,96,76ers,82.0,95
70,Nets,107.0,99,Heat,113.0,96
79,Bucks,120.0,97,Heat,119.0,96
92,Heat,112.0,96,Bulls,99.0,98
107,Heat,133.0,96,Spurs,129.0,95
115,Knicks,100.0,92,Heat,115.0,96
127,Hornets,107.0,100,Heat,111.0,96
144,Heat,99.0,96,Mavericks,107.0,94
167,Heat,115.0,96,Nets,111.0,100
181,Pelicans,97.0,95,Heat,112.0,96
203,Wizards,100.0,94,Heat,121.0,96
216,Hornets,86.0,101,Heat,104.0,96
230,Spurs,95.0,97,Heat,112.0,96
247,Raptors,110.0,96,Heat,106.0,96
255,Celtics,122.0,98,Heat,92.0,97
271,Heat,120.0,97,Raptors,124.0,96
278,Heat,121.0,97,Clippers,114.0,94
291,Heat,110.0,97,Knicks,96.0,92
312,Heat,113.0,97,Lakers,107.0,98
327,Hawks,110.0,98,Heat,108.0,97
342,Heat,104.0,97,Trail Blazers,92.0,98
361,Heat,104.0,97,Raptors,99.0,96
373,Heat,98.0,97,76ers,109.0,96
384,Heat,124.0,97,Hawks,118.0,98
396,Hawks,91.0,99,Heat,115.0,97
430,Suns,100.0,105,Heat,123.0,97
453,Trail Blazers,109.0,98,Heat,115.0,97
467,Warriors,115.0,102,Heat,108.0,97
473,Kings,115.0,98,Heat,113.0,97
486,Rockets,110.0,99,Heat,120.0,97
505,Heat,119.0,97,Wizards,112.0,97
519,Heat,93.0,98,Magic,83.0,93
535,Heat,115.0,98,Pistons,112.0,92
548,Heat,125.0,98,Pacers,96.0,99
559,Pistons,100.0,93,Heat,90.0,99
572,Magic,105.0,93,Heat,115.0,99
586,76ers,96.0,98,Heat,101.0,99
598,Cavaliers,105.0,97,Heat,94.0,100
616,Heat,118.0,100,Bulls,92.0,104
636,Heat,113.0,100,Bucks,104.0,101
651,Heat,90.0,101,Grizzlies,105.0,102
664,Bucks,124.0,101,Heat,102.0,101
669,Pacers,104.0,99,Heat,113.0,101
687,Heat,85.0,102,Cavaliers,111.0,97
698,Heat,111.0,102,Nuggets,120.0,99
715,Bulls,104.0,104,Heat,107.0,102
738,Timberwolves,113.0,104,Heat,101.0,103
744,Pistons,92.0,97,Heat,100.0,104
765,Wizards,103.0,103,Heat,100.0,105
782,Heat,112.0,105,Wizards,97.0,104
791,Heat,113.0,105,Pelicans,98.0,97
809,Thunder,90.0,96,Heat,103.0,106
819,Jazz,105.0,101,Heat,111.0,106
839,Clippers,112.0,104,Heat,109.0,106
852,Lakers,120.0,105,Heat,117.0,106
860,Nuggets,113.0,101,Heat,96.0,107
873,Heat,118.0,107,Jazz,115.0,102
889,Heat,78.0,110,Celtics,95.0,105
904,Mavericks,110.0,105,Heat,125.0,109
928,Grizzlies,103.0,107,Heat,129.0,108
935,Heat,114.0,108,Hornets,99.0,107
948,Nets,93.0,107,Heat,106.0,109
965,Heat,107.0,110,Magic,90.0,98
977,Pacers,102.0,110,Heat,91.0,113
995,Heat,137.0,110,Bucks,95.0,111
1010,Heat,121.0,108,Celtics,100.0,104
1018,Hawks,127.0,95,Heat,92.0,112
1032,Heat,104.0,115,Hornets,103.0,105
1049,Spurs,105.0,52,Heat,109.0,119
1054,Rockets,106.0,125,Heat,113.0,125
1068,Heat,125.0,0,Hawks,99.0,0
