GAME_DATE_EST,GAME_ID,SEASON,TEAM_ID_home,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,TEAM_ID_away,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS,NAME_HOME,COACH_HOME,NAME_AWAY,COACH_AWAY,round_number_home,round_number_away,PTS_home_cur_season,FG_PCT_home_cur_season,FT_PCT_home_cur_season,FG3_PCT_home_cur_season,AST_home_cur_season,REB_home_cur_season,WINRATE_home_cur_season,PTS_LOST_home_cur_season,PTS_away_cur_season,FG_PCT_away_cur_season,FT_PCT_away_cur_season,FG3_PCT_away_cur_season,AST_away_cur_season,REB_away_cur_season,WINRATE_away_cur_season,PTS_LOST_away_cur_season
6/20/2006,40500406,2005,1610612742,92.0,0.37,0.826,0.227,16.0,50.0,1610612748,95.0,0.449,0.622,0.111,18.0,56.0,0,Mavericks,Rick Carlisle,Heat,Erik Spoelstra,113,112,98.83035714285714,0.4616875,0.7876250000000001,0.37491071428571426,17.419642857142872,41.937499999999986,0.7142857142857143,93.50000000000001,98.30630630630631,0.47718018018018,0.6827117117117114,0.33168468468468454,19.702702702702698,42.549549549549546,0.6306306306306304,95.18018018018019
6/18/2006,40500405,2005,1610612748,101.0,0.449,0.653,0.412,14.0,33.0,1610612742,100.0,0.457,0.84,0.263,13.0,42.0,1,Heat,Erik Spoelstra,Mavericks,Rick Carlisle,111,112,98.28181818181818,0.47743636363636344,0.6829818181818178,0.33095454545454533,19.75454545454545,42.63636363636363,0.627272727272727,95.13636363636364,98.81981981981981,0.4617297297297297,0.7871531531531533,0.3759189189189189,17.459459459459474,41.936936936936924,0.7207207207207207,93.43243243243245
6/15/2006,40500404,2005,1610612748,98.0,0.515,0.639,0.368,19.0,48.0,1610612742,74.0,0.316,0.778,0.136,10.0,36.0,1,Heat,Erik Spoelstra,Mavericks,Rick Carlisle,110,111,98.28440366972477,0.4770917431192659,0.6833853211009171,0.3306146788990824,19.761467889908253,42.58715596330275,0.623853211009174,95.3302752293578,99.04545454545455,0.4630545454545454,0.7872363636363636,0.37809999999999994,17.52727272727274,41.99090909090908,0.7272727272727273,93.3909090909091
6/13/2006,40500403,2005,1610612748,98.0,0.487,0.588,0.286,13.0,49.0,1610612742,96.0,0.48,0.692,0.375,15.0,34.0,1,Heat,Erik Spoelstra,Mavericks,Rick Carlisle,109,110,98.28703703703704,0.4769999999999998,0.6842685185185182,0.33102777777777764,19.82407407407407,42.52777777777778,0.6203703703703701,95.32407407407408,99.07339449541284,0.4628990825688073,0.7881100917431194,0.3781284403669724,17.550458715596346,42.06422018348622,0.7339449541284404,93.34862385321102
6/11/2006,40500402,2005,1610612742,99.0,0.486,0.821,0.421,23.0,46.0,1610612748,85.0,0.414,0.625,0.412,16.0,32.0,1,Mavericks,Rick Carlisle,Heat,Erik Spoelstra,109,108,99.07407407407408,0.4626851851851852,0.7878055555555556,0.37773148148148145,17.500000000000014,42.027777777777764,0.7314814814814815,93.42592592592594,98.41121495327103,0.47758878504672875,0.6848224299065417,0.330271028037383,19.859813084112144,42.626168224299064,0.6261682242990652,95.28971962616822
6/8/2006,40500401,2005,1610612742,90.0,0.444,0.769,0.333,18.0,43.0,1610612748,80.0,0.436,0.368,0.25,20.0,45.0,1,Mavericks,Rick Carlisle,Heat,Erik Spoelstra,108,107,99.1588785046729,0.4628598130841121,0.787981308411215,0.37814953271028034,17.495327102803753,42.01869158878503,0.7289719626168224,93.5514018691589,98.58490566037736,0.4779811320754715,0.6878113207547167,0.33102830188679233,19.85849056603773,42.60377358490566,0.632075471698113,95.33962264150944
6/3/2006,40500316,2005,1610612756,93.0,0.5,0.75,0.353,18.0,36.0,1610612742,102.0,0.474,0.806,0.15,10.0,39.0,0,Suns,Monty Williams,Mavericks,Rick Carlisle,110,107,107.90825688073394,0.47960550458715606,0.809376146788991,0.3963486238532111,26.100917431192656,41.07339449541285,0.642201834862385,102.91743119266054,99.13207547169812,0.4627547169811321,0.787811320754717,0.3803018867924528,17.566037735849072,42.047169811320735,0.7264150943396226,93.55660377358492
6/2/2006,40500306,2005,1610612748,95.0,0.557,0.647,0.375,22.0,48.0,1610612765,78.0,0.333,0.75,0.286,15.0,39.0,1,Heat,Erik Spoelstra,Pistons,Dwane Casey,106,108,98.61904761904762,0.47722857142857117,0.6881999999999997,0.3306095238095237,19.838095238095235,42.55238095238095,0.6285714285714283,95.5047619047619,95.73831775700934,0.45123364485981304,0.726934579439253,0.38672897196261685,22.990654205607477,40.598130841121495,0.7289719626168224,89.71028037383178
6/1/2006,40500315,2005,1610612742,117.0,0.472,0.857,0.529,24.0,49.0,1610612756,101.0,0.456,0.95,0.417,21.0,35.0,1,Mavericks,Rick Carlisle,Suns,Monty Williams,106,109,98.96190476190476,0.46266666666666667,0.787152380952381,0.3788857142857142,17.50476190476192,41.98095238095237,0.7238095238095238,93.48571428571431,107.97222222222223,0.4798240740740741,0.8080740740740742,0.3961574074074075,26.148148148148145,41.12962962962964,0.6481481481481479,102.78703703703704
5/31/2006,40500305,2005,1610612765,91.0,0.429,0.885,0.133,19.0,42.0,1610612748,78.0,0.442,0.3,0.211,21.0,40.0,1,Pistons,Dwane Casey,Heat,Erik Spoelstra,107,105,95.78301886792453,0.45144339622641505,0.7254433962264157,0.389122641509434,23.028301886792452,40.58490566037736,0.7264150943396226,89.82075471698113,98.8173076923077,0.47756730769230743,0.691932692307692,0.33175961538461524,19.826923076923073,42.57692307692308,0.6346153846153844,95.54807692307692
5/30/2006,40500314,2005,1610612756,106.0,0.544,0.619,0.467,21.0,37.0,1610612742,86.0,0.418,0.727,0.308,11.0,41.0,1,Suns,Monty Williams,Mavericks,Rick Carlisle,108,105,107.99065420560747,0.47922429906542063,0.8098411214953272,0.39549532710280383,26.196261682242987,41.16822429906543,0.6448598130841119,102.94392523364486,99.08653846153847,0.4630961538461538,0.7877307692307693,0.3795673076923076,17.567307692307708,41.9903846153846,0.7307692307692307,93.36538461538463
5/29/2006,40500304,2005,1610612748,89.0,0.549,0.596,0.333,17.0,35.0,1610612765,78.0,0.39,0.545,0.375,14.0,36.0,1,Heat,Erik Spoelstra,Pistons,Dwane Casey,104,106,98.9126213592233,0.47687378640776673,0.6928640776699025,0.33174757281553385,19.85436893203883,42.650485436893206,0.6310679611650483,95.71844660194175,95.95238095238095,0.4520285714285714,0.7271619047619053,0.38925714285714286,23.114285714285714,40.628571428571426,0.7333333333333333,89.82857142857142
5/28/2006,40500313,2005,1610612756,88.0,0.427,0.846,0.368,13.0,45.0,1610612742,95.0,0.411,0.765,0.267,16.0,48.0,0,Suns,Monty Williams,Mavericks,Rick Carlisle,107,104,108.17924528301887,0.47971698113207556,0.8095,0.3957547169811322,26.320754716981128,41.13207547169812,0.6509433962264148,103.01886792452831,99.12621359223301,0.4636019417475728,0.7879514563106796,0.3806601941747572,17.582524271844676,41.93203883495144,0.7281553398058253,93.41747572815535
5/27/2006,40500303,2005,1610612748,98.0,0.582,0.72,0.222,11.0,40.0,1610612765,83.0,0.422,0.667,0.438,11.0,27.0,1,Heat,Erik Spoelstra,Pistons,Dwane Casey,103,105,98.92156862745098,0.4758431372549017,0.692598039215686,0.3328235294117646,19.941176470588232,42.6764705882353,0.6274509803921566,95.84313725490196,96.07692307692308,0.45231730769230766,0.7277403846153851,0.3887884615384615,23.23076923076923,40.75961538461539,0.7403846153846154,89.75
5/26/2006,40500312,2005,1610612742,105.0,0.475,0.694,0.364,17.0,48.0,1610612756,98.0,0.449,0.727,0.435,23.0,39.0,1,Mavericks,Rick Carlisle,Suns,Monty Williams,103,106,99.06862745098039,0.46349019607843134,0.7888725490196079,0.38082352941176467,17.588235294117663,41.872549019607824,0.7254901960784313,93.37254901960786,108.27619047619048,0.4800095238095239,0.8102857142857143,0.39538095238095244,26.352380952380948,41.15238095238096,0.6571428571428569,103.0
5/25/2006,40500302,2005,1610612765,92.0,0.44,0.741,0.273,20.0,39.0,1610612748,88.0,0.425,0.87,0.273,16.0,40.0,1,Pistons,Dwane Casey,Heat,Erik Spoelstra,104,102,96.11650485436893,0.4524368932038835,0.7276116504854375,0.3899126213592232,23.262135922330096,40.77669902912621,0.7378640776699029,89.76699029126213,99.02970297029702,0.4763465346534651,0.6908415841584155,0.33341584158415827,19.98019801980198,42.7029702970297,0.6336633663366334,95.88118811881188
5/24/2006,40500311,2005,1610612742,118.0,0.505,0.913,0.188,13.0,48.0,1610612756,121.0,0.553,0.759,0.333,24.0,38.0,0,Mavericks,Rick Carlisle,Suns,Monty Williams,102,105,98.88118811881188,0.463079207920792,0.7876435643564357,0.38273267326732663,17.63366336633665,41.8118811881188,0.7326732673267327,93.09900990099011,108.15384615384616,0.47930769230769243,0.8107788461538461,0.3959807692307693,26.374999999999996,41.182692307692314,0.6538461538461535,102.85576923076923
5/23/2006,40500301,2005,1610612765,86.0,0.378,0.864,0.238,16.0,33.0,1610612748,91.0,0.563,0.667,0.357,13.0,43.0,0,Pistons,Dwane Casey,Heat,Erik Spoelstra,103,101,96.2156862745098,0.45316666666666666,0.7262745098039222,0.39140196078431366,23.333333333333332,40.85294117647059,0.7450980392156863,89.75490196078431,99.11,0.47547999999999974,0.6910799999999996,0.3331799999999998,20.049999999999997,42.7,0.6299999999999998,95.98
