GAME_DATE_EST,GAME_ID,SEASON,TEAM_ID_home,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,TEAM_ID_away,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS,NAME_HOME,COACH_HOME,NAME_AWAY,COACH_AWAY,round_number_home,round_number_away,PTS_home_cur_season,FG_PCT_home_cur_season,FT_PCT_home_cur_season,FG3_PCT_home_cur_season,AST_home_cur_season,REB_home_cur_season,WINRATE_home_cur_season,PTS_LOST_home_cur_season,PTS_away_cur_season,FG_PCT_away_cur_season,FT_PCT_away_cur_season,FG3_PCT_away_cur_season,AST_away_cur_season,REB_away_cur_season,WINRATE_away_cur_season,PTS_LOST_away_cur_season
6/20/2013,41200407,2012,1610612748,95.0,0.439,0.688,0.375,14.0,43.0,1610612759,88.0,0.378,0.909,0.316,13.0,43.0,1,Heat,Erik Spoelstra,Spurs,Gregg Popovich,113,109,101.1339285714286,0.48811607142857133,0.7583928571428574,0.39124107142857145,22.491071428571427,38.5,0.7589285714285714,94.0,102.55555555555556,0.4793981481481481,0.7787685185185184,0.37287037037037035,24.59259259259259,41.52777777777778,0.7037037037037037,96.14814814814815
6/18/2013,41200406,2012,1610612748,103.0,0.469,0.762,0.579,23.0,42.0,1610612759,100.0,0.435,0.75,0.278,13.0,45.0,1,Heat,Erik Spoelstra,Spurs,Gregg Popovich,112,108,101.11711711711715,0.4882882882882882,0.7583603603603606,0.38954954954954957,22.486486486486488,38.468468468468465,0.7567567567567568,93.94594594594595,102.57943925233644,0.47981308411214946,0.77903738317757,0.37375700934579437,24.700934579439252,41.495327102803735,0.7102803738317757,96.08411214953271
6/16/2013,41200405,2012,1610612759,114.0,0.6,0.808,0.409,21.0,36.0,1610612748,104.0,0.43,0.826,0.478,25.0,34.0,1,Spurs,Gregg Popovich,Heat,Erik Spoelstra,107,111,102.47169811320755,0.47867924528301875,0.778764150943396,0.37342452830188677,24.735849056603772,41.54716981132076,0.7075471698113207,96.00943396226415,101.09090909090912,0.4888181818181817,0.7577454545454548,0.38874545454545456,22.463636363636365,38.50909090909091,0.7636363636363637,93.76363636363637
6/13/2013,41200404,2012,1610612759,93.0,0.443,0.742,0.5,21.0,36.0,1610612748,109.0,0.529,0.882,0.333,23.0,41.0,0,Spurs,Gregg Popovich,Heat,Erik Spoelstra,106,110,102.56190476190476,0.4790190476190475,0.7791142857142854,0.3722190476190476,24.771428571428572,41.6,0.7142857142857143,95.88571428571429,101.01834862385324,0.48844954128440354,0.7566055045871563,0.389256880733945,22.458715596330276,38.48623853211009,0.7614678899082569,93.77064220183486
6/11/2013,41200403,2012,1610612759,113.0,0.489,0.579,0.5,29.0,52.0,1610612748,77.0,0.408,0.7,0.444,21.0,36.0,1,Spurs,Gregg Popovich,Heat,Erik Spoelstra,105,109,102.46153846153847,0.47892307692307684,0.7810384615384613,0.3709903846153846,24.73076923076923,41.5,0.7115384615384616,96.0673076923077,101.24074074074078,0.4891944444444443,0.7571296296296298,0.38875,22.47222222222222,38.50925925925926,0.7685185185185185,93.5925925925926
6/9/2013,41200402,2012,1610612748,103.0,0.494,0.786,0.526,22.0,36.0,1610612759,84.0,0.41,0.714,0.5,16.0,44.0,1,Heat,Erik Spoelstra,Spurs,Gregg Popovich,108,104,101.2242990654206,0.4891495327102802,0.7568598130841123,0.38746728971962613,22.476635514018692,38.532710280373834,0.7663551401869159,93.6822429906542,102.64077669902913,0.4795922330097087,0.7816893203883494,0.3697378640776699,24.815533980582526,41.47572815533981,0.7184466019417476,96.0
6/6/2013,41200401,2012,1610612748,88.0,0.436,0.706,0.32,20.0,46.0,1610612759,92.0,0.417,0.833,0.304,16.0,37.0,0,Heat,Erik Spoelstra,Spurs,Gregg Popovich,107,103,101.34905660377362,0.4896509433962263,0.7573396226415097,0.3881037735849056,22.5,38.4622641509434,0.7735849056603774,93.69811320754717,102.74509803921569,0.48020588235294115,0.7811862745098037,0.37038235294117644,24.901960784313726,41.51960784313726,0.7156862745098039,96.07843137254902
6/3/2013,41200307,2012,1610612748,99.0,0.39,0.868,0.375,14.0,43.0,1610612754,76.0,0.406,0.7,0.3,14.0,37.0,1,Heat,Erik Spoelstra,Pacers,Nate McMillan,106,107,101.37142857142861,0.49059999999999987,0.7562857142857146,0.38822857142857137,22.580952380952382,38.419047619047625,0.7714285714285715,93.86666666666666,94.14150943396227,0.4360377358490563,0.7502735849056602,0.34349056603773576,19.74528301886792,45.66981132075472,0.6037735849056604,90.88679245283019
6/1/2013,41200306,2012,1610612754,91.0,0.5,0.611,0.545,19.0,53.0,1610612748,77.0,0.361,0.789,0.556,10.0,33.0,1,Pacers,Nate McMillan,Heat,Erik Spoelstra,106,105,94.17142857142858,0.43542857142857117,0.7515999999999998,0.34157142857142847,19.75238095238095,45.6,0.6000000000000001,91.01904761904763,101.60576923076927,0.4918461538461537,0.7559711538461541,0.3866153846153846,22.701923076923077,38.471153846153854,0.7788461538461539,93.89423076923077
5/30/2013,41200305,2012,1610612748,90.0,0.507,0.583,0.389,19.0,32.0,1610612754,79.0,0.449,0.8,0.385,11.0,33.0,1,Heat,Erik Spoelstra,Pacers,Nate McMillan,104,105,101.71844660194178,0.4916990291262135,0.7576504854368934,0.3865922330097087,22.737864077669904,38.53398058252428,0.7766990291262136,94.03883495145631,94.3173076923077,0.43529807692307665,0.7511346153846152,0.34115384615384603,19.836538461538456,45.72115384615385,0.6057692307692308,91.02884615384616
5/28/2013,41200304,2012,1610612754,99.0,0.5,0.788,0.214,18.0,49.0,1610612748,92.0,0.39,0.889,0.348,15.0,30.0,1,Pacers,Nate McMillan,Heat,Erik Spoelstra,104,103,94.27184466019418,0.4346699029126211,0.750776699029126,0.34238834951456304,19.85436893203883,45.689320388349515,0.6019417475728156,91.01941747572816,101.81372549019612,0.4926960784313724,0.7563627450980395,0.38697058823529407,22.813725490196077,38.617647058823536,0.7843137254901961,93.99019607843137
5/27/2013,41200314,2012,1610612763,86.0,0.372,0.708,0.357,19.0,41.0,1610612759,93.0,0.513,0.923,0.231,23.0,34.0,0,Grizzlies,Taylor Jenkins,Spurs,Gregg Popovich,104,102,94.08737864077672,0.4423398058252428,0.7649805825242718,0.34032038834951445,20.747572815533985,42.86407766990293,0.6504854368932037,90.6504854368932,102.84158415841584,0.47988118811881186,0.7797821782178216,0.3717623762376237,24.92079207920792,41.59405940594059,0.7128712871287128,96.17821782178218
