GAME_DATE_EST,GAME_ID,SEASON,TEAM_ID_home,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,TEAM_ID_away,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS,NAME_HOME,COACH_HOME,NAME_AWAY,COACH_AWAY,round_number_home,round_number_away,PTS_home_cur_season,FG_PCT_home_cur_season,FT_PCT_home_cur_season,FG3_PCT_home_cur_season,AST_home_cur_season,REB_home_cur_season,WINRATE_home_cur_season,PTS_LOST_home_cur_season,PTS_away_cur_season,FG_PCT_away_cur_season,FT_PCT_away_cur_season,FG3_PCT_away_cur_season,AST_away_cur_season,REB_away_cur_season,WINRATE_away_cur_season,PTS_LOST_away_cur_season
6/15/2004,40300405,2003,1610612765,100.0,0.461,0.718,0.143,18.0,50.0,1610612747,87.0,0.413,0.636,0.25,18.0,36.0,1,Pistons,Dwane Casey,Lakers,Frank Vogel,113,112,,,,,,,0.6339285714285714,,,,,,,,0.6216216216216216,
6/13/2004,40300404,2003,1610612765,88.0,0.426,0.683,0.154,16.0,45.0,1610612747,80.0,0.423,0.5,0.188,23.0,38.0,1,Pistons,Dwane Casey,Lakers,Frank Vogel,112,111,,,,,,,0.6306306306306306,,,,,,,,0.6272727272727273,
6/10/2004,40300403,2003,1610612765,88.0,0.408,0.7,0.333,17.0,51.0,1610612747,68.0,0.365,0.615,0.222,19.0,39.0,1,Pistons,Dwane Casey,Lakers,Frank Vogel,111,110,,,,,,,0.6272727272727273,,,,,,,,0.6330275229357798,
6/8/2004,40300402,2003,1610612747,99.0,0.475,0.68,0.353,28.0,38.0,1610612765,91.0,0.395,0.677,0.5,19.0,46.0,1,Lakers,Frank Vogel,Pistons,Dwane Casey,109,110,,,,,,,0.6296296296296297,,,,,,,,0.6330275229357798,
6/6/2004,40300401,2003,1610612747,75.0,0.397,0.778,0.231,15.0,37.0,1610612765,87.0,0.462,0.7,0.5,19.0,36.0,0,Lakers,Frank Vogel,Pistons,Dwane Casey,108,109,,,,,,,0.6355140186915887,,,,,,,,0.6296296296296297,
6/1/2004,40300306,2003,1610612765,69.0,0.329,0.733,0.307,17.0,48.0,1610612754,65.0,0.364,0.733,0.222,17.0,41.0,1,Pistons,Dwane Casey,Pacers,Nate McMillan,108,106,,,,,,,0.6261682242990654,,,,,,,,0.7238095238095238,
5/31/2004,40300316,2003,1610612747,96.0,0.449,0.472,0.3,31.0,38.0,1610612750,90.0,0.432,0.923,0.181,17.0,48.0,1,Lakers,Frank Vogel,Timberwolves,Ryan Saunders,107,108,,,,,,,0.6320754716981132,,,,,,,,0.672897196261682,
5/30/2004,40300305,2003,1610612754,65.0,0.329,0.611,0.16,19.0,42.0,1610612765,83.0,0.414,0.913,0.285,18.0,46.0,0,Pacers,Nate McMillan,Pistons,Dwane Casey,105,107,,,,,,,0.7307692307692307,,,,,,,,0.6226415094339622,
5/29/2004,40300315,2003,1610612750,98.0,0.438,0.813,0.142,14.0,42.0,1610612747,96.0,0.5,0.542,0.241,24.0,40.0,1,Timberwolves,Ryan Saunders,Lakers,Frank Vogel,107,106,,,,,,,0.6698113207547167,,,,,,,,0.638095238095238,
5/28/2004,40300304,2003,1610612765,68.0,0.308,0.652,0.208,13.0,49.0,1610612754,83.0,0.457,0.786,0.333,15.0,41.0,0,Pistons,Dwane Casey,Pacers,Nate McMillan,106,104,,,,,,,0.6285714285714286,,,,,,,,0.7281553398058253,
5/27/2004,40300314,2003,1610612747,92.0,0.415,0.677,0.15,25.0,52.0,1610612750,85.0,0.381,0.762,0.227,19.0,41.0,1,Lakers,Frank Vogel,Timberwolves,Ryan Saunders,105,106,,,,,,,0.6346153846153846,,,,,,,,0.6761904761904759,
