,Unnamed: 0,GAME_DATE_EST,GAME_ID,SEASON,TEAM_ID_home,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,TEAM_ID_away,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS,NAME_HOME,COACH_HOME,NAME_AWAY,COACH_AWAY,round_number_home,round_number_away,PTS_home_cur_season,FG_PCT_home_cur_season,FT_PCT_home_cur_season,FG3_PCT_home_cur_season,AST_home_cur_season,REB_home_cur_season,WINRATE_home_cur_season,PTS_LOST_home_cur_season,PTS_away_cur_season,FG_PCT_away_cur_season,FT_PCT_away_cur_season,FG3_PCT_away_cur_season,AST_away_cur_season,REB_away_cur_season,WINRATE_away_cur_season,PTS_LOST_away_cur_season
2325,2325,10/11/2020,41900406,2019,1610612748,93.0,0.443,0.591,0.357,25.0,41.0,1610612747,106.0,0.483,0.643,0.314,23.0,46.0,0,Heat,Erik Spoelstra,Lakers,Frank Vogel,102,101,111.72277227722772,0.4676138613861385,0.7952772277227725,0.3737425742574259,25.752475247524753,43.73267326732673,0.6237623762376238,108.56435643564356,113.07,0.4803800000000001,0.73556,0.3505299999999999,25.41,45.32,0.72,107.31999999999998
2326,2326,10/9/2020,41900405,2019,1610612747,108.0,0.463,0.857,0.368,21.0,41.0,1610612748,111.0,0.458,0.955,0.424,26.0,35.0,0,Lakers,Frank Vogel,Heat,Erik Spoelstra,100,101,113.12121212121212,0.4805555555555557,0.7343333333333333,0.35035353535353525,25.454545454545453,45.36363636363637,0.7272727272727273,107.28282828282826,111.73,0.46770999999999985,0.7936800000000003,0.3732400000000002,25.75,43.82,0.62,108.57
2327,2327,10/6/2020,41900404,2019,1610612748,96.0,0.427,0.808,0.344,18.0,39.0,1610612747,102.0,0.443,0.857,0.359,25.0,42.0,0,Heat,Erik Spoelstra,Lakers,Frank Vogel,100,99,111.88888888888889,0.468121212121212,0.7935353535353536,0.3735353535353537,25.828282828282827,43.86868686868687,0.6262626262626263,108.63636363636364,113.23469387755102,0.4809387755102042,0.7330816326530613,0.3502653061224488,25.459183673469386,45.39795918367347,0.7244897959183674,107.39795918367345
2328,2328,10/4/2020,41900403,2019,1610612748,115.0,0.513,0.913,0.353,25.0,37.0,1610612747,104.0,0.43,0.759,0.333,23.0,43.0,1,Heat,Erik Spoelstra,Lakers,Frank Vogel,99,98,111.85714285714286,0.46766326530612234,0.7923163265306125,0.37374489795918386,25.836734693877553,43.93877551020408,0.6224489795918368,108.68367346938776,113.3298969072165,0.48146391752577333,0.7328144329896907,0.35044329896907206,25.484536082474225,45.422680412371136,0.7319587628865979,107.31958762886596
2329,2329,10/2/2020,41900402,2019,1610612747,124.0,0.505,0.588,0.34,32.0,44.0,1610612748,114.0,0.507,0.912,0.407,29.0,37.0,1,Lakers,Frank Vogel,Heat,Erik Spoelstra,97,98,113.21875,0.4812187500000001,0.7343229166666667,0.35055208333333315,25.416666666666668,45.4375,0.7291666666666666,107.24999999999999,111.83505154639175,0.4672577319587628,0.7910824742268042,0.3734020618556703,25.804123711340207,44.01030927835052,0.6288659793814433,108.52577319587628
2330,2330,9/30/2020,41900401,2019,1610612747,116.0,0.452,0.926,0.395,26.0,54.0,1610612748,98.0,0.427,0.786,0.314,23.0,36.0,1,Lakers,Frank Vogel,Heat,Erik Spoelstra,96,97,113.18947368421053,0.4815263157894738,0.7323052631578948,0.3500842105263156,25.410526315789475,45.34736842105263,0.7263157894736842,107.34736842105261,111.97916666666667,0.46767708333333324,0.7911354166666668,0.3740208333333335,25.833333333333332,44.09375,0.6354166666666666,108.44791666666667
2331,2331,9/27/2020,41900306,2019,1610612748,125.0,0.563,0.846,0.481,30.0,40.0,1610612738,113.0,0.434,0.8,0.326,26.0,42.0,1,Heat,Erik Spoelstra,Celtics,Brad Stevens,96,96,111.84210526315789,0.4666736842105262,0.7905578947368422,0.37289473684210545,25.789473684210527,44.136842105263156,0.631578947368421,108.4,112.47368421052632,0.4620947368421052,0.7955052631578944,0.3594315789473682,22.92631578947369,45.92631578947368,0.663157894736842,105.93684210526315
2332,2332,9/26/2020,41900315,2019,1610612747,117.0,0.545,0.828,0.375,24.0,43.0,1610612743,107.0,0.422,0.885,0.267,23.0,36.0,1,Lakers,Frank Vogel,Nuggets,Michael Malone,95,99,113.14893617021276,0.4808510638297873,0.7312872340425531,0.34981914893617,25.425531914893618,45.37234042553192,0.723404255319149,107.35106382978721,110.14285714285714,0.473857142857143,0.7772244897959186,0.3585102040816326,25.714285714285705,43.73469387755104,0.6122448979591837,108.60204081632654
2333,2333,9/25/2020,41900305,2019,1610612738,121.0,0.452,0.862,0.316,29.0,50.0,1610612748,108.0,0.453,0.793,0.194,27.0,38.0,1,Celtics,Brad Stevens,Heat,Erik Spoelstra,95,95,112.38297872340425,0.4622021276595744,0.7947978723404252,0.35989361702127637,22.86170212765958,45.88297872340426,0.6595744680851062,105.91489361702128,111.88297872340425,0.46681914893617005,0.7905319148936171,0.3747978723404257,25.77659574468085,44.202127659574465,0.6382978723404256,108.26595744680851
2334,2334,9/24/2020,41900314,2019,1610612743,108.0,0.506,0.87,0.357,22.0,33.0,1610612747,114.0,0.475,0.8,0.333,23.0,41.0,0,Nuggets,Michael Malone,Lakers,Frank Vogel,98,94,110.16494845360825,0.4735257731958764,0.7762680412371136,0.35852577319587625,25.75257731958762,43.845360824742286,0.6185567010309279,108.54639175257732,113.13978494623656,0.48091397849462375,0.7305483870967742,0.3499999999999998,25.451612903225808,45.41935483870968,0.7204301075268817,107.34408602150536
