GAME_DATE_EST,GAME_ID,SEASON,TEAM_ID_home,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,TEAM_ID_away,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS,NAME_HOME,COACH_HOME,NAME_AWAY,COACH_AWAY,round_number_home,round_number_away,PTS_home_cur_season,FG_PCT_home_cur_season,FT_PCT_home_cur_season,FG3_PCT_home_cur_season,AST_home_cur_season,REB_home_cur_season,WINRATE_home_cur_season,PTS_LOST_home_cur_season,PTS_away_cur_season,FG_PCT_away_cur_season,FT_PCT_away_cur_season,FG3_PCT_away_cur_season,AST_away_cur_season,REB_away_cur_season,WINRATE_away_cur_season,PTS_LOST_away_cur_season
6/23/2005,40400407,2004,1610612759,81.0,0.426,0.842,0.636,14.0,38.0,1610612765,74.0,0.419,0.714,0.143,17.0,34.0,1,Spurs,Gregg Popovich,Pistons,Dwane Casey,108,111,96.51401869158875,0.4549065420560749,0.7242242990654207,0.3664579439252336,21.009345794392527,42.392523364485996,0.719626168224299,89.392523364486,92.7090909090909,0.44410909090909106,0.7385545454545454,0.3418727272727273,21.527272727272734,42.99090909090909,0.6454545454545455,88.63636363636364
6/21/2005,40400406,2004,1610612759,86.0,0.413,0.615,0.286,15.0,43.0,1610612765,95.0,0.468,0.684,0.471,19.0,40.0,0,Spurs,Gregg Popovich,Pistons,Dwane Casey,107,110,96.61320754716978,0.455301886792453,0.7252547169811323,0.36721698113207546,21.06603773584906,42.38679245283021,0.7264150943396226,89.33962264150945,92.68807339449542,0.44388990825688085,0.7390550458715596,0.34068807339449547,21.55045871559634,43.018348623853214,0.6422018348623854,88.66055045871559
6/19/2005,40400405,2004,1610612765,95.0,0.44,0.826,0.222,17.0,42.0,1610612759,96.0,0.463,0.571,0.4,20.0,45.0,0,Pistons,Dwane Casey,Spurs,Gregg Popovich,109,106,92.66666666666667,0.44392592592592606,0.73825,0.34178703703703706,21.592592592592602,43.02777777777778,0.6481481481481481,88.5925925925926,96.61904761904758,0.45522857142857154,0.7267238095238098,0.3669047619047619,21.07619047619048,42.36190476190478,0.7238095238095238,89.2857142857143
6/16/2005,40400404,2004,1610612765,102.0,0.456,0.783,0.222,23.0,47.0,1610612759,71.0,0.371,0.583,0.333,15.0,44.0,1,Pistons,Dwane Casey,Spurs,Gregg Popovich,108,105,92.57943925233644,0.44381308411214965,0.7378317757009345,0.3429065420560748,21.579439252336456,42.99065420560748,0.6448598130841121,88.75700934579439,96.86538461538458,0.45603846153846167,0.7281057692307695,0.36723076923076925,21.13461538461539,42.34615384615386,0.7307692307692307,89.16346153846156
6/14/2005,40400403,2004,1610612765,96.0,0.471,0.765,0.214,22.0,44.0,1610612759,79.0,0.433,0.65,0.471,16.0,37.0,1,Pistons,Dwane Casey,Spurs,Gregg Popovich,107,104,92.54716981132076,0.4435566037735851,0.7375754716981131,0.344122641509434,21.575471698113216,42.9811320754717,0.6415094339622641,88.84905660377359,97.03883495145628,0.4562621359223302,0.7288640776699031,0.3662233009708738,21.18446601941748,42.398058252427205,0.7378640776699029,89.0970873786408
6/12/2005,40400402,2004,1610612759,97.0,0.468,0.824,0.458,23.0,36.0,1610612765,76.0,0.402,0.625,0.0,17.0,45.0,1,Spurs,Gregg Popovich,Pistons,Dwane Casey,103,106,97.03921568627447,0.4561470588235295,0.7279313725490199,0.36532352941176477,21.16666666666667,42.460784313725505,0.7352941176470589,89.22549019607845,92.70476190476191,0.4439523809523811,0.738647619047619,0.34740000000000004,21.619047619047628,42.96190476190476,0.6476190476190476,88.77142857142857
6/9/2005,40400401,2004,1610612759,84.0,0.43,0.8,0.308,12.0,49.0,1610612765,69.0,0.377,0.714,0.167,15.0,35.0,1,Spurs,Gregg Popovich,Pistons,Dwane Casey,102,105,97.16831683168313,0.4564059405940595,0.7272178217821785,0.36589108910891094,21.257425742574263,42.39603960396041,0.7326732673267327,89.42574257425744,92.9326923076923,0.444596153846154,0.7388846153846154,0.34913461538461543,21.682692307692317,43.03846153846154,0.6538461538461539,88.8173076923077
6/6/2005,40400307,2004,1610612748,82.0,0.464,0.667,0.182,12.0,35.0,1610612765,88.0,0.456,0.733,0.385,21.0,41.0,0,Heat,Erik Spoelstra,Pistons,Dwane Casey,100,104,101.06060606060606,0.48785858585858594,0.6756464646464643,0.37657575757575756,21.35353535353535,42.75757575757575,0.717171717171717,94.77777777777777,92.98058252427184,0.44448543689320397,0.7389417475728154,0.3487864077669903,21.689320388349522,43.05825242718446,0.6504854368932039,88.88349514563107
6/4/2005,40400306,2004,1610612765,91.0,0.419,0.632,0.412,24.0,46.0,1610612748,66.0,0.406,0.611,0.231,15.0,40.0,1,Pistons,Dwane Casey,Heat,Erik Spoelstra,103,99,93.0,0.4447352941176472,0.7399901960784312,0.34816666666666674,21.666666666666675,43.029411764705884,0.6470588235294118,89.1078431372549,101.41836734693878,0.4886938775510205,0.6763061224489793,0.3780612244897959,21.41836734693877,42.78571428571428,0.7244897959183672,94.81632653061224
6/2/2005,40400305,2004,1610612748,88.0,0.522,0.565,0.375,17.0,38.0,1610612765,76.0,0.385,0.65,0.273,16.0,40.0,1,Heat,Erik Spoelstra,Pistons,Dwane Casey,98,102,101.55670103092784,0.48835051546391767,0.6774536082474223,0.37809278350515463,21.46391752577319,42.835051546391746,0.7216494845360824,95.01030927835052,93.16831683168317,0.4453267326732675,0.7408811881188117,0.34891089108910894,21.722772277227733,43.05940594059406,0.6534653465346535,89.11881188118812
6/1/2005,40400315,2004,1610612756,95.0,0.437,0.824,0.294,16.0,43.0,1610612759,101.0,0.46,0.75,0.429,21.0,47.0,0,Suns,Monty Williams,Spurs,Gregg Popovich,100,101,110.83838383838383,0.4816969696969696,0.7496969696969699,0.39758585858585843,23.08080808080808,44.15151515151515,0.7474747474747475,103.68686868686869,97.12999999999997,0.45637000000000005,0.7269900000000002,0.36526000000000003,21.260000000000005,42.350000000000016,0.73,89.37000000000002
5/31/2005,40400304,2004,1610612765,106.0,0.481,0.718,0.5,27.0,39.0,1610612748,96.0,0.444,0.744,0.214,17.0,38.0,1,Pistons,Dwane Casey,Heat,Erik Spoelstra,101,97,93.04,0.44497000000000014,0.7411099999999997,0.34740000000000004,21.67000000000001,43.1,0.65,89.05,101.61458333333333,0.4888125000000001,0.6767604166666663,0.3798020833333333,21.51041666666666,42.88541666666666,0.7291666666666665,94.89583333333333
5/30/2005,40400314,2004,1610612759,106.0,0.442,0.478,0.44,22.0,45.0,1610612756,111.0,0.571,0.875,0.5,23.0,37.0,0,Spurs,Gregg Popovich,Suns,Monty Williams,100,99,97.040404040404,0.4565151515151516,0.7295050505050509,0.36450505050505055,21.252525252525256,42.32323232323234,0.7373737373737373,89.15151515151517,110.83673469387755,0.48078571428571426,0.7484183673469389,0.39654081632653043,23.081632653061224,44.224489795918366,0.7448979591836735,103.66326530612245
5/29/2005,40400303,2004,1610612765,104.0,0.439,0.651,0.308,22.0,38.0,1610612748,113.0,0.523,0.704,0.5,22.0,39.0,0,Pistons,Dwane Casey,Heat,Erik Spoelstra,100,96,92.92929292929293,0.44503030303030316,0.7420202020202018,0.34779797979797983,21.666666666666675,43.15151515151515,0.6565656565656566,88.8080808080808,101.49473684210527,0.4884526315789474,0.676473684210526,0.3785368421052631,21.50526315789473,42.926315789473676,0.726315789473684,94.8
