logiProb,poisProb,Obs,model
0.59757201,0.613775096,0,M6
0.582693548,0.59683454,0,M6
0.413680613,0.436615286,1,M6
0.359170522,0.411073978,1,M6
0.465675655,0.509823426,1,M6
0.686832644,0.634868545,1,M6
0.599117175,0.615693763,1,M6
0.85267147,0.797889581,1,M6
0.755993592,0.646312807,1,M6
0.823084419,0.770116803,0,M6
0.644956173,0.60974265,0,M6
0.63466048,0.55166578,1,M6
0.787439547,0.72930241,1,M6
0.747073612,0.664013983,1,M6
0.540441411,0.544451322,1,M6
0.755183711,0.644914647,1,M6
0.852322155,0.796826668,1,M6
0.823510816,0.770715564,1,M6
0.634274267,0.54987098,0,M6
0.747916246,0.664746694,1,M6
0.54090527,0.545313027,1,M6
0.643978761,0.608797587,1,M6
0.786510831,0.726651494,1,M6
0.421641039,0.447558068,0,M6
0.42225972,0.448090558,0,M6
0.764277657,0.708520211,1,M6
0.76359744,0.708636814,1,M6
0.499326068,0.597185342,1,M6
0.710110642,0.592592962,0,M6
0.80500708,0.78273692,1,M6
0.49785613,0.5966345,1,M6
0.364377999,0.364032343,0,M6
0.496934037,0.59638938,1,M6
0.36189695,0.36161166,1,M6
0.710780601,0.592738457,1,M6
0.805046443,0.783364608,1,M6
0.709858098,0.592815994,1,M6
0.804489207,0.782386638,1,M6
0.562998496,0.417718783,0,M6
0.617620018,0.608960103,1,M6
0.481311739,0.589916036,0,M6
0.649032659,0.736614416,0,M6
0.59458074,0.577643733,0,M6
0.626297946,0.632657599,1,M6
0.721387364,0.590257079,0,M6
0.562133253,0.416469641,0,M6
0.617263541,0.606042574,0,M6
0.478582206,0.589688398,1,M6
0.580660896,0.550161335,0,M6
0.561142219,0.416644218,1,M6
0.616473267,0.604713898,1,M6
0.578840546,0.548032047,1,M6
0.47983904,0.591093174,0,M6
0.626355909,0.636470941,1,M6
0.649446142,0.736261467,1,M6
0.59263205,0.580533716,1,M6
0.626150603,0.637049293,1,M6
0.719170831,0.588298715,1,M6
0.649261275,0.736428116,1,M6
0.592831596,0.581050622,0,M6
0.717041932,0.58672881,1,M6
0.683706502,0.692852752,0,M6
0.690170906,0.521793367,1,M6
0.516060046,0.4671868,1,M6
0.325070421,0.320787705,1,M6
0.760216395,0.788050145,1,M6
0.806202498,0.792108262,1,M6
0.831968291,0.8158232,1,M6
0.51914696,0.648434726,1,M6
0.68462382,0.692997961,1,M6
0.431340861,0.368883682,0,M6
0.546411823,0.480061979,0,M6
0.67445606,0.543672561,0,M6
0.369353737,0.361269385,0,M6
0.688082081,0.517978951,1,M6
0.324660015,0.321205407,1,M6
0.432251809,0.370033837,0,M6
0.515158669,0.466430578,1,M6
0.546988333,0.479288811,0,M6
0.37201593,0.529702835,0,M6
0.68672605,0.517390362,1,M6
0.674641027,0.541789818,0,M6
0.323365435,0.321396954,1,M6
0.37361833,0.530563088,0,M6
0.513924242,0.465721524,1,M6
0.368512647,0.360621816,1,M6
0.757947394,0.784890329,1,M6
0.664497533,0.701042064,1,M6
0.832077998,0.814266434,1,M6
0.804488707,0.790714301,1,M6
0.522645794,0.651411654,1,M6
0.5367619,0.625235339,1,M6
0.68542228,0.69336368,1,M6
0.80817151,0.630247532,1,M6
0.663519238,0.69985405,1,M6
0.803629566,0.790240217,1,M6
0.758254381,0.783369028,0,M6
0.832724706,0.814020741,0,M6
0.8071512,0.628847083,1,M6
0.684280943,0.693129336,1,M6
0.536814538,0.62655364,1,M6
0.523286335,0.651488945,0,M6
0.638141906,0.647717608,1,M6
0.611481553,0.504789484,1,M6
0.612158534,0.504667382,0,M6
0.610852794,0.50623386,1,M6
0.637327142,0.644167029,1,M6
0.635579889,0.643858103,1,M6
0.677629833,0.526248471,0,M6
0.518558311,0.580496031,1,M6
0.554856854,0.647612374,1,M6
0.703799346,0.60211918,0,M6
0.674758486,0.525127996,1,M6
0.700709087,0.6005819,1,M6
0.676234493,0.524858682,0,M6
0.517577009,0.586031814,1,M6
0.557067618,0.648432773,0,M6
0.516749658,0.587046149,1,M6
0.555622725,0.648408511,1,M6
0.495118141,0.546862737,0,M6
0.712861834,0.784219759,1,M6
0.510468885,0.366882053,1,M6
0.621340012,0.612041813,0,M6
0.725046771,0.624026972,1,M6
0.71328109,0.783814107,1,M6
0.619267976,0.577432442,1,M6
0.494985907,0.548290101,1,M6
0.749155239,0.615517324,1,M6
0.508278937,0.367022748,1,M6
0.620546168,0.611753739,1,M6
0.724750681,0.623361869,1,M6
0.503386409,0.36635851,1,M6
0.466792262,0.563104107,0,M6
0.618944787,0.611209109,1,M6
0.722490608,0.621678254,1,M6
0.717424708,0.784457278,1,M6
0.462646355,0.563011403,1,M6
0.619934763,0.579728494,1,M6
0.717279609,0.785567418,1,M6
0.497677594,0.550819732,1,M6
0.750014402,0.615302785,1,M6
0.838710193,0.81509246,1,M6
0.617601481,0.579136699,1,M6
0.747102956,0.614336552,1,M6
0.494569339,0.551728126,1,M6
0.610824516,0.621470331,1,M6
